"","party","HR333.BankruptcyOverhaul.Yes","SJRes6.ErgonomicsRuleDisapproval.No","HR3.IncomeTaxReduction.No","HR6.MarriageTaxReduction.Yes","HR8.EstateTaxRelief.Yes","HR503.FetalProtection.No","HR1.SchoolVouchers.No","HR1836.TaxCutReconciliationBill.No","HR2356.CampaignFinanceReform.No","HJRes36.FlagDesecration.No","HR7.FaithBasedInitiative.Yes","HJRes50.ChinaNormalizedTradeRelations.Yes","HR4.ANWRDrillingBan.Yes","HR2563.PatientsRightsHMOLiability.No","HR2563.PatientsBillOfRights.No","HR2944.DomesticPartnerBenefits.No","HR2586.USMilitaryPersonnelOverseasAbortions.Yes","HR2975.AntiTerrorismAuthority.No","HR3090.EconomicStimulus.No","HR3000.TradePromotionAuthorityFastTrack.No"
"Abercrombie","D",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ackerman","D",NA,1,NA,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1
"Aderholt","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,1
"Akin","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Allen","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Andrews","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Armey","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baca","D",1,1,1,1,1,1,1,NA,1,0,1,1,0,1,1,1,1,1,1,1
"Bachus","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baird","D",NA,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Baker","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baldacci","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Baldwin","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ballenger","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barcia","D",1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
"Barr","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Barrett","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Bartlett","R",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Barton","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0
"Bass","R",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"Becerra","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Bentsen","D",0,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,1,1,1,1,0
"Bereuter","R",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berkley","D",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"Berman","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Berry","D",0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1
"Biggert","R",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Bilirakis","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bishop","D",1,1,0,1,1,0,1,NA,1,NA,1,0,0,1,1,1,1,1,1,1
"Blagojevich","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Blumenauer","D",1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1
"Blunt","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0
"Boehlert","R",0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0
"Boehner","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonilla","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonior","D",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bono","R",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Boozman","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Borski","D",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Boswell","D",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Boucher","D",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Boyd","D",0,0,1,1,1,1,1,NA,1,0,1,0,0,1,1,1,1,1,1,1
"Brady","D",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Brady1","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Brown1","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Brown2","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryant","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burr","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Burton","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Buyer","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callahan","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calvert","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camp","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannon","R",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantor","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capito","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
"Capps","D",1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"Capuano","D",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cardin","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Carson","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Carson1","D",0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0
"Castle","R",0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
"Chabot","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chambliss","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clay","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clayton","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clement","D",0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1
"Clyburn","D",1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Coble","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Collins","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Combest","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Condit","D",0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"Conyers","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,1
"Cooksey","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"Costello","D",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
"Cox","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Coyne","D",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"Cramer","D",NA,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1
"Crane","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crenshaw","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crowley","D",0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Cubin","R",0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,0
"Culberson","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cummings","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Cunningham","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Davis","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Davis1","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"Davis2","D",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"Davis3","R",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Davis4","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Deal","R",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DeFazio","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DeGette","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Delahunt","D",1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"DeLauro","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"DeLay","R",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"DeMint","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deutsch","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Diaz-Balart","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dicks","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"Dingell","D",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Doggett","D",1,1,1,0,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1
"Dooley","D",0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0
"Doolittle","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doyle","D",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"Dreier","R",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Duncan","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Dunn","R",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Edwards","D",0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Ehlers","R",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Ehrlich","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Emerson","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engel","D",1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1
"English","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eshoo","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Etheridge","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"Evans","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Everett","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Farr","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Fattah","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ferguson","R",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Filner","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Flake","R",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fletcher","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foley","R",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
"Forbes","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Ford","D",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Fossella","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frank","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Frelinghuysen","R",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Frost","D",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Gallegly","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ganske","R",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
"Gekas","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gephardt","D",1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"Gibbons","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilchrest","R",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
"Gillmor","R",0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,NA,0,0
"Gilman","R",0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
"Gonzalez","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Goode","I",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Goodlatte","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","D",0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"Goss","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graham","R",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Granger","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graves","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green","D",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Green1","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenwood","R",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"Grucci","R",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gutierrez","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Gutknecht","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hall","D",1,1,1,1,1,0,1,NA,1,1,0,1,1,1,1,0,0,1,1,1
"Hall1","D",0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Hansen","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Harman","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Hart","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hastert","R",NA,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"Hastings","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hastings1","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hayworth","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hefley","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Herger","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hill","D",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,0
"Hilleary","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hilliard","D",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Hinchey","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hinojosa","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"Hobson","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Hoeffel","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hoekstra","R",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Holden","D",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
"Holt","D",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Honda","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Hooley","D",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"Horn","R",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"Hostettler","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"Houghton","R",0,0,0,0,0,1,1,NA,1,0,0,0,1,0,0,1,1,0,0,0
"Hoyer","D",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hulshof","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hunter","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hutchinson","R",0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA
"Hyde","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Inslee","D",NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Isakson","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Israel","D",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"Issa","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Istook","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackson","D",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Jackson-Lee","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Jefferson","D",1,1,1,1,1,1,1,1,1,NA,1,0,0,1,1,1,1,1,1,0
"Jenkins","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"John","D",0,0,1,1,1,0,NA,0,1,0,0,0,0,1,1,0,0,1,1,0
"Johnson","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Johnson1","R",0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0
"Johnson2","R",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Johnson3","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jones","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Jones1","R",0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1
"Kanjorski","D",1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1
"Kaptur","D",1,1,1,1,1,0,1,NA,1,0,1,1,1,1,1,1,1,1,1,1
"Keller","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelly","R",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"Kennedy","D",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Kennedy2","R",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Kerns","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kildee","D",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"Kilpatrick","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Kind","D",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"King","R",0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0
