"","party","HR333.BankruptcyOverhaul.Yes","SJRes6.ErgonomicsRuleDisapproval.No","HR3.IncomeTaxReduction.No","HR6.MarriageTaxReduction.Yes","HR8.EstateTaxRelief.Yes","HR503.FetalProtection.No","HR1.SchoolVouchers.No","HR1836.TaxCutReconciliationBill.No","HR2356.CampaignFinanceReform.No","HJRes36.FlagDesecration.No","HR7.FaithBasedInitiative.Yes","HJRes50.ChinaNormalizedTradeRelations.Yes","HR4.ANWRDrillingBan.Yes","HR2563.PatientsRightsHMOLiability.No","HR2563.PatientsBillOfRights.No","HR2944.DomesticPartnerBenefits.No","HR2586.USMilitaryPersonnelOverseasAbortions.Yes","HR2975.AntiTerrorismAuthority.No","HR3090.EconomicStimulus.No","HR3000.TradePromotionAuthorityFastTrack.No"
"Kingston","R",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Kirk","R",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"Kleczka","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Knollenberg","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kolbe","R",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Kucinich","D",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"LaFalce","D",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"LaHood","R",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Lampson","D",1,1,1,NA,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Langevin","D",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"Lantos","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Largent","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larsen","R",0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"Larson","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Latham","R",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LaTourette","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"Leach","R",0,0,0,0,0,NA,1,0,1,1,1,0,1,1,0,1,1,0,1,0
"Lee","D",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Levin","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Lewis","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lewis1","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lewis2","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linder","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lipinski","D",0,1,1,0,1,0,0,NA,1,0,0,1,NA,NA,NA,0,0,1,1,1
"LoBiondo","R",0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
"Lofgren","D",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Lowey","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Lucas","D",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"Lucas1","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luther","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Lynch","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Maloney","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Maloney1","D",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Manzullo","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Markey","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mascara","D",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
"Matheson","D",0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"Matsui","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"McCarthy","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"McCarthy1","D",1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"McCollum","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"McCrery","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"McDermott","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"McGovern","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"McHugh","R",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1
"McInnis","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"McIntyre","D",1,0,0,1,1,0,1,NA,1,0,0,1,1,1,1,0,0,1,1,1
"McKeon","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McKinney","D",1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1
"McNulty","D",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1
"Meehan","D",1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1
"Meek","D",1,1,1,1,1,NA,1,NA,1,1,1,0,1,1,1,1,1,1,1,NA
"Meeks","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,1,1,1
"Menendez","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Mica","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Millender-McDonald","D",1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1
"Miller","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Miller1","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0
"Miller2","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miller3","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Mink","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Moakley","D",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mollohan","D",0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,NA,NA,1,1
"Moore","D",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"Moran","D",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"Moran1","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morella","R",0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0
"Murtha","D",1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1
"Myrick","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nadler","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1
"Napolitano","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Neal","D",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Nethercutt","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ney","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Northup","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norwood","R",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Nussle","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oberstar","D",1,1,1,1,1,0,1,NA,1,1,1,0,0,1,1,1,0,1,1,1
"Obey","D",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Olver","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ortiz","D",1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0
"Osborne","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ose","R",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Otter","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Owens","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1
"Oxley","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pallone","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Pascrell","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Pastor","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Paul","R",0,0,0,0,0,1,1,0,NA,1,0,0,0,NA,NA,0,0,0,0,1
"Payne","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pelosi","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pence","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peterson","D",0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,NA,NA,1,1,1
"Peterson1","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"Petri","R",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
"Phelps","D",0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1
"Pickering","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pitts","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platts","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pombo","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pomeroy","D",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Portman","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Price","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Pryce","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Putnam","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Quinn","R",0,1,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,1,NA
"Radanovich","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rahall","D",1,1,1,1,1,0,1,NA,1,0,1,1,1,1,1,1,0,1,1,1
"Ramstad","R",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"Rangel","D",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Regula","R",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"Rehberg","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reyes","D",1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,1,1,1,1
"Reynolds","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riley","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rivers","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rodriguez","D",1,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,1,1,1,1,1
"Roemer","D",0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1
"Rogers","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rogers1","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Rohrabacher","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Ros-Lehtinen","R",NA,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Ross","D",0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1
"Rothman","D",NA,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Roukema","R",0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,NA
"Roybal-Allard","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Royce","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rush","D",1,1,1,1,1,NA,1,NA,1,0,1,1,1,1,1,NA,NA,1,1,1
"Ryan","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ryun","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabo","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sanchez","D",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Sanders","I",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sandlin","D",0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"Sawyer","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Saxton","R",0,1,0,0,0,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0
"Scarborough","R",0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,NA,NA,NA,NA,NA
"Schaffer","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Schakowsky","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Schiff","D",1,1,1,1,1,1,1,0,1,NA,1,0,1,1,1,1,1,1,1,1
"Schrock","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scott","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sensenbrenner","R",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Serrano","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,1,1,1
"Sessions","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shadegg","R",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Shaw","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Shays","R",0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0
"Sherman","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Sherwood","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shimkus","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shows","D",0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1
"Shuster","R",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simmons","R",0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1
"Simpson","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sisisky","D",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skeen","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skelton","D",0,0,NA,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0
"Slaughter","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Smith","D",0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
"Smith1","R",0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
"Smith2","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Smith3","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snyder","D",NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"Solis","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Souder","R",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Spence","R",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spratt","D",1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Stark","D",1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1
"Stearns","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Stenholm","D",0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0
"Strickland","D",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Stump","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stupak","D",1,NA,NA,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"Sununu","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweeney","R",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Tancredo","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tanner","D",0,0,1,1,1,0,NA,1,1,1,1,0,0,1,1,0,1,1,1,0
"Tauscher","D",0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"Tauzin","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylor","D",0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1
"Taylor1","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Terry","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas","R",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Thompson","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Thompson1","D",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Thornberry","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thune","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Thurman","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Tiahrt","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiberi","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tierney","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Toomey","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Towns","D",1,1,1,1,0,1,1,NA,1,0,1,1,0,1,1,NA,NA,NA,1,1
"Traficant","D",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"Turner","D",0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1
"Udall","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Udall1","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Upton","R",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Velazquez","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1
"Visclosky","D",1,1,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1
"Vitter","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walden","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Walsh","R",0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,1
"Wamp","R",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Waters","D",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"Watkins","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Watson","D",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,1
"Watt","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Watts","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waxman","D",1,1,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1
"Weiner","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Weldon","R",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Weldon1","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Weller","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wexler","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Whitfield","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wicker","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wilson","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wolf","R",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Woolsey","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wu","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wynn","D",1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1
"Young","R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young1","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
